"MessageId","TimeStamp","AccountId","CurrentUsage","ExpiryTime","LimitAmount","LimitCode","LimitName","Region","Resource","Service","Source","Status"
"c162e339-0e2e-43b8-ab53-9cc54ab6066c","2024-12-14T01:15:00.000Z","301664410103","0%","1735504280","100%","L-7278F198","StartThingRegistrationTask API TPS","ap-southeast-1","StartThingRegistrationTask","IoT","aws-solutions.quota-monitor","OK"
"6d77d678-4f56-49bd-9fa6-658b231de030","2024-12-13T22:15:00.000Z","301664410103","0%","1735526781","100%","L-211F680E","UpdateThing API TPS","us-east-1","UpdateThing","IoT","aws-solutions.quota-monitor","OK"
"11bf1867-dc19-48f4-9c36-bcb9182ec5bf","2024-12-14T08:11:00.000Z","405142580014","0%","1735544781","100%","L-275D92F3","UpdateCustomKeyStore request rate","us-east-1","UpdateCustomKeyStore","KMS","aws-solutions.quota-monitor","OK"
"0b92960b-653b-4a45-8c04-5a1f81dc2d06","2024-12-14T12:14:00.000Z","301664410103","0%","1735595780","100%","L-0451886A","CreateAgentActionGroup requests per second","ap-southeast-1","CreateAgentActionGroup","Bedrock","aws-solutions.quota-monitor","OK"
"3b3b0bb0-35f8-4780-8041-34c902ce23ec","2024-12-13T21:15:00.000Z","301664410103","0%","1735461980","100%","L-8E63548F","UpdateAgentKnowledgeBase requests per second","us-east-1","UpdateAgentKnowledgeBase","Bedrock","aws-solutions.quota-monitor","OK"
"ee6b8b09-de86-4124-83d0-d4cf9a4fadf5","2024-12-14T13:11:00.000Z","405142580014","0%","1735586781","100%","L-787608AB","Number of NetworkSettings","ap-southeast-1","NetworkSettings","Amazon WorkSpaces Secure Browser","aws-solutions.quota-monitor","OK"
"728f1238-8bc0-462b-b980-fffe91811c63","2024-12-14T04:14:00.000Z","301664410103","0%","1735555581","100%","L-BBECF742","TagLogGroup throttle limit in transactions per second","ap-southeast-1","TagLogGroup","Logs","aws-solutions.quota-monitor","OK"
"ab49a00f-8b61-4d23-aff0-f2b12ee39a80","2024-12-14T05:11:00.000Z","405142580014","0%","1735536980","100%","L-BD96F100","EnableKey request rate","ap-southeast-1","EnableKey","KMS","aws-solutions.quota-monitor","OK"
"3df11eff-c903-4da8-b75c-c24068628ef0","2024-12-14T03:11:00.000Z","405142580014","0%","1735479081","100%","L-52964454","Certificates per Network Load Balancer","ap-southeast-1","CertificatesPerNetworkLoadBalancer","Elastic Load Balancing","aws-solutions.quota-monitor","OK"
"0ce19cb2-64a8-4ea5-97cd-fd95c36f49b6","2024-12-14T09:14:00.000Z","301664410103","0%","1735564881","100%","L-3B6F7C26","Rate of DescribeMap API requests","ap-southeast-1","DescribeMap","Location","aws-solutions.quota-monitor","OK"
"b1ad9cb8-c10e-4a3d-85de-056e913b8a5a","2024-12-14T02:11:00.000Z","405142580014","0%","1735481780","100%","L-D127B7BE","ListTagsForResource API TPS","ap-southeast-1","ListTagsForResource","IoT","aws-solutions.quota-monitor","OK"
"8968588b-5a56-4856-a594-5c088b85f2a4","2024-12-14T13:11:00.000Z","405142580014","0%","1735586480","100%","L-A01C9633","Rate of UserPoolResourceRead requests per account","ap-southeast-1","UserPoolResourceRead","Cognito User Pool","aws-solutions.quota-monitor","OK"
"d773ecd8-23b6-436e-8429-5737af226f33","2024-12-13T16:11:00.000Z","405142580014","0%","1735442480","100%","L-D750D224","Rate of DisableAlarmActions requests","us-east-1","DisableAlarmActions","CloudWatch","aws-solutions.quota-monitor","OK"
"ae3854c1-96b3-4895-9b5b-ee36d6a06e61","2024-12-14T03:14:00.000Z","301664410103","0%","1735504881","100%","L-D22B0B1B","CreateEventIntegration rate quota","ap-southeast-1","CreateEventIntegration","AppIntegrations","aws-solutions.quota-monitor","OK"
"e0e15152-5cc6-4136-9929-6afe6e4328af","2024-12-14T06:14:00.000Z","301664410103","0%","1735555581","100%","L-ACAEE94E","DescribeExportTasks throttle limit in transactions per second","ap-southeast-1","DescribeExportTasks","Logs","aws-solutions.quota-monitor","OK"
"d689b787-4ee0-4cd6-8b22-a48b99ac7f4a","2024-12-14T06:14:00.000Z","301664410103","0%","1735551680","100%","L-F83AC7F7","UpdatePrimaryRegion request rate","ap-southeast-1","UpdatePrimaryRegion","KMS","aws-solutions.quota-monitor","OK"
"ddffa919-3b4a-4926-865d-4d3dc3487619","2024-12-13T17:11:00.000Z","405142580014","0%","1735430181","100%","L-81AF5123","The maximum number of DescribeCluster API requests that you can make per second.","ap-southeast-1","DescribeCluster","EMR","aws-solutions.quota-monitor","OK"
"074890bc-3c8c-4065-88af-5c05712e2bcb","2024-12-13T19:11:00.000Z","405142580014","0%","1735440681","100%","L-FDFA5F81","Registered clusters","us-east-1","RegisteredClusterCount","EKS","aws-solutions.quota-monitor","OK"
"e4ed9c47-e124-41cc-9328-7978e125c434","2024-12-14T06:15:00.000Z","301664410103","0%","1735557681","100%","L-3032A538","Fargate On-Demand vCPU resource count","us-east-1","vCPU","Fargate","aws-solutions.quota-monitor","OK"
"bfbd17ae-9390-4602-a1c5-383f10272834","2024-12-14T07:11:00.000Z","405142580014","0%","1735553781","100%","L-A9D9612A","Rate of CreateSession requests","us-east-1","CreateSession","RolesAnywhere","aws-solutions.quota-monitor","OK"
"6aae48da-e13d-4c14-8e5c-06fcafb7b471","2024-12-13T21:14:00.000Z","301664410103","0%","1735457181","100%","L-161E93A6","ListRetirableGrants request rate","ap-southeast-1","ListRetirableGrants","KMS","aws-solutions.quota-monitor","OK"
"302d3d2e-dc65-42e9-bfb4-bec9429bca70","2024-12-13T22:11:00.000Z","405142580014","0%","1735505181","100%","L-D39AB822","ListGrants request rate","us-east-1","ListGrants","KMS","aws-solutions.quota-monitor","OK"
"a69f142b-f53c-4c8a-803b-7165775711be","2024-12-13T20:11:00.000Z","405142580014","0%","1735452980","100%","L-DDCF8E97","DescribeThingType API TPS","us-east-1","DescribeThingType","IoT","aws-solutions.quota-monitor","OK"
"1f783996-38de-42a7-8f5b-b0a91dfeefe8","2024-12-14T03:11:00.000Z","405142580014","0%","1735485081","100%","L-86127B31","Throttle rate for TagResource","us-east-1","TagResource","Service Quotas","aws-solutions.quota-monitor","OK"
"707c1473-4a7d-453e-931b-961684c3ea9a","2024-12-13T21:15:00.000Z","301664410103","0%","1735465581","100%","L-0017E049","Combined rate of CRL requests","us-east-1","CRL","RolesAnywhere","aws-solutions.quota-monitor","OK"
"6a5ffb5b-5542-45be-a426-99aff154adb7","2024-12-14T05:11:00.000Z","405142580014","0%","1735523782","100%","L-46BC975A","CreatePrompt requests per second","ap-southeast-1","CreatePrompt","Bedrock","aws-solutions.quota-monitor","OK"
"0fcca46c-f4ad-4e87-92bc-80bebb4978ec","2024-12-13T19:14:00.000Z","301664410103","0%","1735460181","100%","L-66AE0662","Transactions per second (TPS) for the GetResourcePolicy API","ap-southeast-1","GetResourcePolicy","CloudTrail","aws-solutions.quota-monitor","OK"
"e492cb97-446a-4de2-8edb-6dbd7cbb491e","2024-12-13T18:11:00.000Z","405142580014","0%","1735431381","100%","L-8A08DAEA","ListKeys request rate","ap-southeast-1","ListKeys","KMS","aws-solutions.quota-monitor","OK"
"37c81b21-d9fe-43a0-a7d2-e6a677e9de93","2024-12-13T23:11:00.000Z","405142580014","0%","1735493781","100%","L-B86F3D29","Maximum number of Amazon Q Apps that a single web experience user can create.","us-east-1","QAppCountPerUser","Amazon Q Apps","aws-solutions.quota-monitor","OK"
"13c2fb2f-b3e8-47c4-9d84-4c4bc43756bc","2024-12-13T19:11:00.000Z","405142580014","0%","1735434981","100%","L-171660E4","ListKeyRotations request rate","ap-southeast-1","ListKeyRotations","KMS","aws-solutions.quota-monitor","OK"
"d06cee48-0d60-4e01-8538-7bf8ee4f1474","2024-12-14T08:11:00.000Z","405142580014","0%","1735524980","100%","L-61103206","Topics per Account","ap-southeast-1","ApproximateNumberOfTopics","SNS","aws-solutions.quota-monitor","OK"
"905c3c16-b28f-4ded-b358-a1afb065f70f","2024-12-13T20:11:00.000Z","405142580014","0%","1735425980","100%","L-5D46E37D","ListDataIntegrationAssociations rate quota","ap-southeast-1","ListDataIntegrationAssociations","AppIntegrations","aws-solutions.quota-monitor","OK"
"67d0abda-228c-49c6-aeaf-5378a1ea3fa8","2024-12-14T03:15:00.000Z","301664410103","0%","1735518981","100%","L-B22855CB","Target Groups per Region","us-east-1","TargetGroupsPerRegion","Elastic Load Balancing","aws-solutions.quota-monitor","OK"
"c1cd2399-9c60-42ef-9168-c180b3baf521","2024-12-14T14:11:00.000Z","405142580014","0%","1735587081","100%","L-7AB759D6","Rate of UpdateServiceLevelObjective requests","us-east-1","UpdateServiceLevelObjective","CloudWatch Application Signals","aws-solutions.quota-monitor","OK"
"7b32d4c4-aadc-4a39-9a34-05e28221c1d7","2024-12-14T11:14:00.000Z","301664410103","0%","1735593680","100%","L-7E1FAE88","PutLogEvents throttle limit in transactions per second","ap-southeast-1","PutLogEvents","Logs","aws-solutions.quota-monitor","OK"
"f9fe5fa0-eac0-4780-86fe-0fb75d6a5252","2024-12-13T22:15:00.000Z","301664410103","0%","1735518681","100%","L-102075A9","Transactions per second (TPS) for the GetImport API","us-east-1","GetImport","CloudTrail","aws-solutions.quota-monitor","OK"
"2421779c-4d79-43f9-b6eb-21c0a0d2f863","2024-12-14T07:15:00.000Z","301664410103","0%","1735550181","100%","L-EBC99F5D","Transactions per second (TPS) for the StartQuery API","ap-southeast-1","StartQuery","CloudTrail","aws-solutions.quota-monitor","OK"
"02ba06b9-9ba3-45f6-8141-6facd6c2675c","2024-12-13T20:11:00.000Z","405142580014","0%","1735444881","100%","L-4DFA3D2F","GraphQL APIs - APIs per region","us-east-1","GraphQLAPIs","AppSync","aws-solutions.quota-monitor","OK"
"c28eee28-afad-4e54-bd42-b080881bf03e","2024-12-14T02:15:00.000Z","301664410103","0%","1735521381","100%","L-FC5F6546","Active DML queries","us-east-1","ActiveQueryCount","Athena","aws-solutions.quota-monitor","OK"
"1c4b4607-869e-4c9d-bb6c-86dea0cd1454","2024-12-14T06:15:00.000Z","301664410103","0%","1735572681","100%","L-83C5ACEF","Request rate for PutPolicy","us-east-1","PutPolicy","MediaConvert","aws-solutions.quota-monitor","OK"
"c48eb475-419c-4e89-ab37-24b3e7856be8","2024-12-14T05:14:00.000Z","301664410103","0%","1735560981","100%","L-871FF812","UpdateAgentAlias requests per second","ap-southeast-1","UpdateAgentAlias","Bedrock","aws-solutions.quota-monitor","OK"
"6f504bef-7eff-40ef-8269-3ed45ad2ef8d","2024-12-14T06:11:00.000Z","405142580014","0%","1735536681","100%","L-6B8C93BD","DisableKey request rate","ap-southeast-1","DisableKey","KMS","aws-solutions.quota-monitor","OK"
"fdeebcda-a838-460d-b61d-024185d22875","2024-12-14T11:11:00.000Z","405142580014","0%","1735585581","100%","L-BEB90E24","DescribeDestinations throttle limit in transactions per second","us-east-1","DescribeDestinations","Logs","aws-solutions.quota-monitor","OK"
"a0937c9d-6ca7-4dd1-aa67-91009ed892b0","2024-12-13T23:11:00.000Z","405142580014","0%","1735476081","100%","L-C1E19420","ListSMSSandboxPhoneNumbers Transactions per Second","ap-southeast-1","ListSMSSandboxPhoneNumbers","SNS","aws-solutions.quota-monitor","OK"
"7ec2ec1a-6942-4608-abaa-ce75cf207997","2024-12-13T19:15:00.000Z","301664410103","0%","1735473381","100%","L-52E1E197","DescribeThingGroup API TPS","us-east-1","DescribeThingGroup","IoT","aws-solutions.quota-monitor","OK"
"7ceaeeba-8d1c-48e0-af96-0749707fee12","2024-12-13T20:11:00.000Z","405142580014","0%","1735427481","100%","L-1CD226BD","TestMetricFilter throttle limit in transactions per second","ap-southeast-1","TestMetricFilter","Logs","aws-solutions.quota-monitor","OK"
"610dbd1a-959c-4985-8e69-0caeb60bca09","2024-12-14T14:11:00.000Z","405142580014","0%","1735585580","100%","L-0ABA0A81","CreatePromptVersion requests per second","ap-southeast-1","CreatePromptVersion","Bedrock","aws-solutions.quota-monitor","OK"
"f06a3efd-a22b-4e1b-afee-5f7abf52d5ec","2024-12-14T04:11:00.000Z","405142580014","0%","1735541781","100%","L-226FBD21","TagResource rate quota","us-east-1","TagResource","AppIntegrations","aws-solutions.quota-monitor","OK"
"4d92069a-5691-4701-b87f-ec668ff40f69","2024-12-14T07:11:00.000Z","405142580014","0%","1735531581","100%","L-16E39BCB","TagResource throttle limit in transactions per second","ap-southeast-1","TagResource","Textract","aws-solutions.quota-monitor","OK"
"ac48302c-c9a4-44f5-b6a8-2a2e0fd50c70","2024-12-13T19:15:00.000Z","301664410103","0%","1735467081","100%","L-438B53F5","Request rate for DeleteJobTemplate","us-east-1","DeleteJobTemplate","MediaConvert","aws-solutions.quota-monitor","OK"
"98a4445d-570c-4eb7-aa43-df739d6b52e8","2024-12-13T20:15:00.000Z","301664410103","0%","1735470081","100%","L-856966E8","OptInPhoneNumber Transactions per Second","us-east-1","OptInPhoneNumber","SNS","aws-solutions.quota-monitor","OK"
"6ce341ab-8b30-43de-b9b1-217efe78ab92","2024-12-14T14:11:00.000Z","405142580014","0%","1735581380","100%","L-05D334F0","Rate of ListMetrics requests","us-east-1","ListMetrics","CloudWatch","aws-solutions.quota-monitor","OK"
"04026d25-bdc3-45fd-bb2b-4be31f57cb8a","2024-12-14T12:11:00.000Z","405142580014","0%","1735593381","100%","L-779B9CA5","Rate of DeleteGeofenceCollection API requests","us-east-1","DeleteGeofenceCollection","Location","aws-solutions.quota-monitor","OK"
"777f936e-fd56-4e35-877b-6bbfdbea37e7","2024-12-14T03:15:00.000Z","301664410103","0%","1735522581","100%","L-7F1DBFAE","DeprecateThingType API TPS","us-east-1","DeprecateThingType","IoT","aws-solutions.quota-monitor","OK"
"170968c2-39c4-4986-a057-083bb1901144","2024-12-13T18:14:00.000Z","301664410103","0%","1735451181","100%","L-A487133E","Request rate for CreateQueue","ap-southeast-1","CreateQueue","MediaConvert","aws-solutions.quota-monitor","OK"
"9e3c959b-37f6-493d-91e7-c7d9d5020c44","2024-12-13T19:15:00.000Z","301664410103","0%","1735468882","100%","L-AE4BC073","The maximum number of SetKeepJobFlowAliveWhenNoSteps API requests that you can make per second.","us-east-1","SetKeepJobFlowAliveWhenNoSteps","EMR","aws-solutions.quota-monitor","OK"
"0340f63e-c15c-4f34-893a-ab2b947c0498","2024-12-14T03:11:00.000Z","405142580014","0%","1735497381","100%","L-2EE2434F","GetSMSSandboxAccountStatus Transactions per Second","us-east-1","GetSMSSandboxAccountStatus","SNS","aws-solutions.quota-monitor","OK"
"c44908c1-a6bb-41f5-8637-e9eb2808ebf9","2024-12-13T23:11:00.000Z","405142580014","0%","1735485680","100%","L-5CCC34E8","Rate of PutSinkPolicy requests","ap-southeast-1","PutSinkPolicy","Observability Access Manager","aws-solutions.quota-monitor","OK"
"786e17b4-cc50-40f2-84a1-fbe754003a73","2024-12-14T08:15:00.000Z","301664410103","0%","1735554381","100%","L-FA210A1F","Maximum number of configuration profiles per application","us-east-1","ConfigurationProfilesPerApplication","AWS AppConfig","aws-solutions.quota-monitor","OK"
"167a7808-e678-4f8e-8b37-6eb387464772","2024-12-14T06:11:00.000Z","405142580014","0%","1735528280","100%","L-3BE1AAB0","Rate of ListImportTasks API requests","ap-southeast-1","ListImportTasks","NeptuneGraph","aws-solutions.quota-monitor","OK"
"34b74cd9-5cf6-4047-8a1c-1c5e88aa30b3","2024-12-14T02:15:00.000Z","301664410103","0%","1735517481","100%","L-705B9E79","ConnectCustomKeyStore request rate","us-east-1","ConnectCustomKeyStore","KMS","aws-solutions.quota-monitor","OK"
"f13f41bd-f37c-4d21-87a4-4bcd85bfd5ac","2024-12-14T01:15:00.000Z","301664410103","0%","1735507882","100%","L-75A471E3","Request rate for UpdateJobTemplate","us-east-1","UpdateJobTemplate","MediaConvert","aws-solutions.quota-monitor","OK"
"a6803568-96b4-4a3b-820c-6462c69beb7a","2024-12-14T03:15:00.000Z","301664410103","0%","1735511780","100%","L-A01C9633","Rate of UserPoolResourceRead requests per account","us-east-1","UserPoolResourceRead","Cognito User Pool","aws-solutions.quota-monitor","OK"
"eb5e05b6-51d8-401a-af80-0049291c7689","2024-12-14T00:14:00.000Z","301664410103","0%","1735507881","100%","L-A21DE5E2","The maximum number of RunJobFlow API requests that you can make per second.","ap-southeast-1","RunJobFlow","EMR","aws-solutions.quota-monitor","OK"
"df064f0e-d847-47ff-8633-0ad8f9a396bc","2024-12-13T21:11:00.000Z","405142580014","0%","1735437081","100%","L-8A08DAEA","ListKeys request rate","ap-southeast-1","ListKeys","KMS","aws-solutions.quota-monitor","OK"
"c0536d96-d591-4bd7-be07-09be1440aeaf","2024-12-14T12:11:00.000Z","405142580014","0%","1735578980","100%","L-2A3A5399","Rate of ListGeofences API requests","ap-southeast-1","ListGeofences","Location","aws-solutions.quota-monitor","OK"
"a08378e9-ef97-4168-9106-5ca335d42039","2024-12-13T16:14:00.000Z","301664410103","0%","1735461381","100%","L-EE822245","DescribeCertificateProvider API TPS","ap-southeast-1","DescribeCertificateProvider","IoT","aws-solutions.quota-monitor","OK"
"ea2e99b5-b696-41f2-991e-eb75fd5ee2ff","2024-12-14T09:11:00.000Z","405142580014","0%","1735553781","100%","L-787E531D","Rate of StartMetricStreams requests","us-east-1","StartMetricStreams","CloudWatch","aws-solutions.quota-monitor","OK"
"fe7db7f5-fd0c-4b69-9c50-95ca5258c6c0","2024-12-14T01:11:00.000Z","405142580014","0%","1735489281","100%","L-0017E049","Combined rate of CRL requests","us-east-1","CRL","RolesAnywhere","aws-solutions.quota-monitor","OK"
"b6aee3c3-2296-4a1f-b5ad-f503e5c34add","2024-12-14T01:11:00.000Z","405142580014","0%","1735497081","100%","L-34F6A552","Account-level read throughput limit (Provisioned mode)","us-east-1","AccountProvisionedReadCapacityUnits","DynamoDB","aws-solutions.quota-monitor","OK"
"6a3b11c9-aee5-47fd-994e-a9f3879fb689","2024-12-14T08:15:00.000Z","301664410103","0%","1735560980","100%","L-BEC68768","Transactions per second (TPS) for the CreateChannel API","ap-southeast-1","CreateChannel","CloudTrail","aws-solutions.quota-monitor","OK"
"6d92b158-2710-4118-97d7-28f74d473191","2024-12-13T23:11:00.000Z","405142580014","0%","1735476681","100%","L-355F669C","Rate of GetRecommendation API requests","us-east-1","GetRecommendation","TrustedAdvisor","aws-solutions.quota-monitor","OK"
"41a63118-cf66-403f-8134-6e491f307b0b","2024-12-14T03:14:00.000Z","301664410103","0%","1735506680","100%","L-C482C4CA","GetAgentVersion requests per second","ap-southeast-1","GetAgentVersion","Bedrock","aws-solutions.quota-monitor","OK"
